46230	전남 광양시	광양시
46710	전남 담양군	담양군
46720	전남 곡성군	곡성군
46730	전남 구례군	구례군
46770	전남 고흥군	고흥군
46780	전남 보성군	보성군
46790	전남 화순군	화순군
46800	전남 장흥군	장흥군
46810	전남 강진군	강진군
46820	전남 해남군	해남군
46830	전남 영암군	영암군
46840	전남 무안군	무안군
46860	전남 함평군	함평군
46870	전남 영광군	영광군
46880	전남 장성군	장성군
46890	전남 완도군	완도군
46900	전남 진도군	진도군
46910	전남 신안군	신안군
47111	경북 포항시 남구	포항시 남구
47113	경북 포항시 북구	포항시 북구
47130	경북 경주시	경주시
47150	경북 김천시	김천시
47170	경북 안동시	안동시
47190	경북 구미시	구미시
47210	경북 영주시	영주시
47230	경북 영천시	영천시
47250	경북 상주시	상주시
47280	경북 문경시	문경시
47290	경북 경산시	경산시
47720	경북 군위군	군위군
47730	경북 의성군	의성군
47750	경북 청송군	청송군
47760	경북 영양군	영양군
47770	경북 영덕군	영덕군
47820	경북 청도군	청도군
47830	경북 고령군	고령군
47840	경북 성주군	성주군
47850	경북 칠곡군	칠곡군
47900	경북 예천군	예천군
47920	경북 봉화군	봉화군
47930	경북 울진군	울진군
47940	경북 울릉군	울릉군
48121	경남 창원시 의창구	창원시 의창구
48123	경남 창원시 성산구	창원시 성산구
48125	경남 창원시 마산합포구	창원시 마산합포구
48127	경남 창원시 마산회원구	창원시 마산회원구
48129	경남 창원시 진해구	창원시 진해구
48170	경남 진주시	진주시
48220	경남 통영시	통영시
48240	경남 사천시	사천시
48250	경남 김해시	김해시
48270	경남 밀양시	밀양시
48310	경남 거제시	거제시
48330	경남 양산시	양산시
48720	경남 의령군	의령군
48730	경남 함안군	함안군
48740	경남 창녕군	창녕군
48820	경남 고성군	고성군
48840	경남 남해군	남해군
48850	경남 하동군	하동군
48860	경남 산청군	산청군
48870	경남 함양군	함양군
48880	경남 거창군	거창군
48890	경남 합천군	합천군
50110	제주 제주시	제주시
50130	제주 서귀포시	서귀포시
